gt,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27,user28,user29,user30,user31,user32,user33,user34,user35,user36,user37,user38,user39,user40,user41,user42,user43,user44,user45,user46,user47,user48,user49,user50,user51,user52,user53,user54,user55,user56,user57,user58,user59,user60,user61,user62,user63,user64,user65,user66,user67,user68,user69,user70,user71,user72,user73,user74,user75,user76,user77,user78,user79,user80,user81,user82,user83,user84,user85,user86,user87,user88,user89,user90,user91,user92,user93,user94,user95,user96,user97,user98,user99,user100
28.55119903,27.87786859,27.89936947,34.86767609,29.04753966,30.01016166,26.612697,30.30971588,22.56438542,26.80702704,24.19929017,27.89790135,29.78541084,28.36169764,23.64849055,33.78131443,29.51491551,26.97495751,30.17808518,29.43440889,28.2473399,28.83241546,27.05464989,27.09634558,26.12660333,30.76392864,27.20468129,31.69539433,30.65610813,27.2474418,25.55411433,28.96034357,25.6179408,28.89992668,26.02095815,26.99921607,30.45413914,31.12262651,30.61768251,26.62051108,30.5545936,15.60229442,21.08091568,21.3159229,16.83790667,22.48997409,21.05553188,20.97103711,23.22849665,22.11619956,18.61812698,20.03129046,21.39608137,14.6182764,20.98669974,19.8550647,23.72840835,22.52715903,16.88262967,17.83476115,19.37211703,21.53626411,25.47600762,22.97716676,19.3376959,20.11689925,23.69214555,20.94721896,30.56529975,20.51519586,30.43708844,34.77799809,27.38767962,38.62442619,28.10233357,38.31029932,22.02981961,43.12507724,16.59974166,18.08606233,29.11067825,26.49714773,46.80920268,49.15477058,29.22788101,49.87337754,30.95003881,18.64229523,44.74281616,37.21296528,20.82270515,48.82362731,28.48730615,22.48638638,43.24735919,24.30384845,10.72965259,10.77763026,34.7909718,44.90821122,44.3599162
39.92188155,39.78593313,38.85783919,35.68673048,43.86292874,40.71191991,40.93841969,35.99983278,34.71507198,39.02048947,45.69144645,37.00266934,39.87728604,40.33141194,36.69169933,41.37637739,39.7626662,39.97406988,40.19534118,39.98925594,35.99688684,40.87962341,37.56743728,41.45522733,45.50616695,38.01217409,39.71803432,37.32468512,42.84241068,35.64479185,33.46757605,40.30748315,38.96762613,39.84999431,40.76665149,40.22906021,44.64958154,38.99851689,40.81567157,41.14397481,42.48437469,35.46494696,27.33889062,33.77883299,32.766246,33.67222027,34.53341048,32.55590742,33.92221868,36.82218456,27.63464003,31.16872206,35.09971437,28.6213792,32.56005574,30.52375304,37.66062589,31.39537192,31.50116049,28.45692689,31.78451329,31.48769137,34.93521068,28.52624579,30.86029042,31.65337076,31.8417488,32.95091421,30.51949266,35.83065864,34.26398557,43.33335094,31.57798018,44.40620527,13.34507416,47.47595577,10.86431532,43.84126562,21.45575629,36.13162097,15.36962637,22.95305856,49.41805834,19.07073283,37.86905608,19.46228538,10.71237841,15.648669,15.83792144,34.92487775,18.27054365,11.76887703,49.19792461,45.76166544,29.93893433,26.12163157,41.85446186,41.07078608,40.4177551,46.13422849,44.37544527
39.40345105,39.44086045,39.60038573,29.86960854,34.53012805,38.98069685,40.06427936,40.99414684,40.08014194,40.38944969,39.87284684,36.87119763,40.20201357,39.02650597,34.03617996,34.21745145,44.86179692,39.19976813,39.66769421,39.0000427,37.6252809,39.02503818,42.07338518,42.01230916,45.31749113,41.59888872,43.57122893,40.20878262,45.09586628,39.57319493,34.62225229,38.13475435,36.91242309,39.61397296,40.96461592,38.38917758,42.09187646,42.25314388,26.54249571,40.01457336,36.79028338,26.21792295,32.49058468,32.6902639,33.38467243,31.97573714,31.65093219,30.85349719,29.26812176,33.62065388,32.66091813,25.45217032,29.5361654,30.34123727,36.27079783,30.79975296,39.28660527,33.74056189,23.18198928,34.27884785,33.08143646,30.7817189,35.73840108,32.98606126,30.21844673,31.39804044,30.44726409,31.50166531,33.58686662,27.10322893,34.92607626,32.28418141,28.12022924,30.27358799,23.37042587,44.92347603,12.08893025,13.97589238,28.06923943,21.6285783,39.71975607,41.61258753,33.49876637,23.17310026,21.98862705,28.06669197,41.14300935,24.77552925,39.81382741,26.65936564,32.94770052,44.85219809,39.59414751,46.20294206,23.87481956,38.51975403,22.43137794,14.7240654,45.70043579,22.41480732,29.31070234
36.97482581,38.42923133,38.93395694,40.63846012,36.97385648,38.80765742,40.43457358,35.55111998,42.69829805,37.23335692,34.01995014,38.75375523,36.44613273,37.26964212,35.95592,43.96424999,30.17523099,35.85143516,36.48535642,37.21344259,40.44762001,37.43875218,36.65543635,35.09164285,47.20410491,41.4936155,40.97122952,39.49400815,40.96309321,34.2703093,42.23622701,37.45616977,47.32493242,37.18075159,40.40571271,36.92981079,34.69605484,35.55155565,45.35293992,36.62211371,38.98277674,31.42206718,25.36082812,30.02728694,27.94750925,28.24926153,33.79941936,24.08959638,33.63870962,30.42668606,27.97519897,26.37068235,22.42469362,29.08996104,30.70198713,27.91788129,27.77579027,29.22723377,31.3493426,29.67940457,28.62639291,29.01714735,31.7717654,33.3350645,29.09852583,27.32725159,25.78998933,28.31984116,33.29032504,34.77118763,34.79696741,25.53111481,29.34853763,19.79258642,27.95939493,18.27620317,23.50523177,45.69318368,25.08091561,15.22141409,33.36824929,28.84667238,49.91539287,26.12235919,12.11885237,13.03604664,22.36749076,16.74925855,38.65630184,37.90908768,22.19774827,43.86150121,42.84908006,10.85331029,23.62250157,13.33257815,18.06309811,41.44764044,33.64490622,38.08001222,28.72985227
23.99748973,24.66933405,23.08311091,32.40757726,26.88268983,27.54469656,21.16670234,28.20229224,35.11625995,26.1846838,24.17228497,20.73330248,23.85991037,23.13707419,18.63176025,25.54915758,25.86517868,22.6800447,24.0323501,25.28120662,22.01048415,26.74275059,24.87373514,22.93345969,21.08429655,21.2397182,21.26241419,23.78153567,19.77897743,22.47295196,27.47828318,24.40266382,25.0261604,22.68551603,21.05199961,19.86202751,22.05872694,18.87790694,22.5196946,25.88689282,23.19475442,26.34308398,15.47515883,15.76289035,17.66197098,19.6824603,13.75082576,13.42632885,12.05773513,16.09016185,14.42966217,12.71565516,14.91391861,18.92673623,15.7408647,15.2099071,8.767932833,15.70203071,17.06520994,15.58736583,16.02103751,18.55772567,17.33783443,12.42235833,14.61853118,15.57032677,12.13584882,16.42690632,20.08782343,11.21921687,19.36481366,35.15243349,18.72788481,42.9534435,43.1378219,48.13982124,25.41087587,21.73655156,22.31172181,38.00279322,47.90511116,14.73110692,18.30776127,31.64762224,11.59594617,38.49724716,36.34409112,46.51827642,13.94395369,38.84584092,46.46981957,38.02573686,36.1435675,33.56899298,45.70109555,38.49981635,26.42392393,14.49424731,38.14946612,16.13081581,12.14528166
38.42683295,40.63841488,37.09597954,38.79909522,37.13544954,34.95690225,42.05442278,39.3967809,47.26859962,40.15902239,31.61363863,40.05884367,39.51326564,37.7470002,37.31106624,45.08387072,40.8927107,36.16001874,38.31583735,39.07300514,37.35468773,39.18421461,36.59651151,37.87622867,42.32405484,48.01119497,35.9072622,36.42295623,45.76633634,42.27014887,39.43081934,37.40995942,35.62160895,39.53257747,38.13363315,40.51015416,43.26830329,34.95631272,31.83781982,37.85465255,37.37357129,26.07097917,34.80392384,31.89944707,33.53453735,30.60651676,36.12556776,31.70350017,34.04655245,34.73344754,28.43649338,32.13941124,29.07646855,25.66597562,32.60789119,28.88916085,27.71468162,30.76119757,28.67581238,28.56479977,30.88841952,30.20172848,37.69582138,32.58294548,30.71779939,31.83061366,37.05795036,31.45820278,34.63409166,36.87956432,23.82425954,39.76683133,25.55914849,30.43497179,18.62745669,34.97115139,25.46967522,12.14859779,39.78386521,17.87359693,24.69035366,29.31536619,17.38998991,19.15310283,49.78729941,17.41962845,49.79818593,41.38987366,23.35126254,45.80758676,36.54131072,22.53619098,38.24826278,14.20331883,49.06920855,30.59237513,43.75343322,30.4086665,10.88273465,27.35349996,41.92983663
36.56777056,39.82446759,35.28293918,36.5568094,36.45162938,40.61660854,34.00681095,35.32015125,32.77645842,38.11609856,34.40428983,32.61112884,36.21522704,35.969433,37.00969114,43.58822828,37.61234282,37.29195869,37.13187098,36.48826911,31.22308909,36.32254229,35.17742088,39.14498588,34.75800866,38.72584928,37.28162245,39.14570777,38.78281468,37.34829454,36.05797902,36.22261017,34.1911344,36.15028124,39.2862297,34.24912305,38.93405427,33.91534922,36.44860971,36.16642576,31.80148683,30.04293371,27.71958301,28.90169972,30.93898118,32.91354798,31.74339947,27.45557869,26.09512547,31.48654728,22.64957554,29.09240192,26.44152553,29.92971581,25.64017586,27.83712313,36.53270746,28.29918332,32.74527205,25.52224852,29.10991783,28.34500673,30.75721187,29.77728713,27.94501132,27.08008459,28.89395777,29.01628473,26.29330238,27.38177199,31.1055188,44.91289495,28.00759676,46.84982901,41.32394179,23.54852099,29.71720038,30.67961946,14.83365847,46.53245049,34.5720974,36.59636271,48.70088827,21.70843178,37.90521704,32.62984511,47.95343594,25.81383133,28.20677378,10.39873714,44.47349354,44.80696892,19.90424497,40.35149093,32.17567403,30.43530904,39.07012038,45.47483229,19.11681736,17.65920471,19.29781697
37.63113571,39.74728942,39.95005294,40.01545963,38.80329661,31.61911005,39.84135577,41.15715285,37.6797972,36.00663927,39.91858714,34.27473942,36.85607197,36.57579133,31.41783301,24.61430409,36.11730105,37.77824557,37.77220511,38.62889655,44.74675788,36.53044811,40.42353294,38.06872801,40.36983405,39.74733788,37.28662737,38.55737376,37.89543017,36.22476876,44.88636086,38.34894128,37.262164,36.63214549,43.17329236,34.87620136,40.57272007,37.66061269,30.36961378,36.99346337,37.76728847,29.57686973,28.20241621,29.69744169,30.29132855,33.03474731,37.07741764,28.37057701,26.18871659,29.89255298,27.207843,31.04542603,27.48083836,26.56388407,32.14069976,28.6690835,34.30138668,27.56764491,28.36943351,22.84397584,29.91075125,28.9303114,34.09576406,31.53525205,29.33446997,28.84069497,33.07655716,29.55972327,28.35472136,28.54463598,34.86557164,37.3507563,38.65953462,41.7639013,41.01576743,19.21663026,25.62720795,20.12589991,28.94167982,48.87109179,35.93089256,44.39736984,21.189991,20.98485436,35.80038028,23.13927021,39.49314567,47.63034752,46.31565865,15.16368464,47.41648291,23.53063643,45.53740871,35.56116175,11.49237089,46.69411244,23.8808985,30.34404292,38.73229362,23.07360275,46.50086468
26.43663702,25.99547285,26.14290325,15.85021772,27.75331399,30.21526771,25.72606972,30.59342563,30.04230273,28.22561237,23.4371106,25.89471989,25.53817433,27.30884886,22.64428769,26.23252983,23.21305198,25.55340735,26.70493412,25.47910774,27.33522405,26.45177185,26.05433404,27.1680471,24.83233927,29.41823556,29.44434539,28.08159917,24.15213706,28.54166898,22.13429038,26.83073704,30.32920591,27.9951158,32.44326481,24.5556912,27.67489581,25.82392978,19.4047864,25.66978515,26.15709539,22.5528599,21.76767764,20.04230002,21.65451554,17.69977454,24.42239347,16.30709409,19.13582276,20.99475033,17.7609738,17.95323017,18.36747339,18.57651436,16.15935785,16.83348433,16.56390306,15.4322813,16.86352235,15.06881974,18.81536928,18.26088387,20.97997652,23.62291964,15.87393205,19.14992044,19.59319131,19.05607701,13.55490297,15.08205203,25.4975932,35.64692052,35.98160998,19.69657696,26.94073122,25.74761133,49.49290831,42.22827069,49.08084676,19.00970001,22.03617434,38.70847017,16.65564874,14.57504632,22.87985915,35.21240131,13.76949631,45.30414367,39.70766543,20.33711677,40.00445476,24.04045774,41.1226347,38.25429408,46.88900907,30.17093021,24.32629594,34.76887153,15.25864899,22.17751915,32.71087805
27.66190049,25.87662287,26.89808517,23.80389782,26.6024903,31.01277498,33.84886903,31.09904561,29.18179278,27.70107194,29.31775074,23.00945507,26.40699699,26.44541676,27.19745686,27.02101952,29.06771692,29.01663732,27.07008562,29.03539442,28.25813846,29.0094522,28.8857494,27.032572,30.50587443,27.59151486,27.85293502,29.15193053,26.33505425,25.91865826,27.29825572,27.5825079,28.95286004,28.26342117,26.86587719,30.39517402,28.11957326,29.30678221,26.59568242,25.50093909,27.74138198,22.42588284,16.50012572,21.99435829,20.9921505,19.37539164,25.64937989,22.92986254,13.2461872,21.41506684,21.22347609,11.09696299,13.90200891,18.71124479,25.7626094,18.0215236,17.457797,16.2145974,27.50615304,18.37576187,20.68856119,20.47751264,22.62258299,24.8948164,18.09028487,18.33235922,20.33780829,20.09523907,19.12475579,17.56702091,32.06577184,48.88509118,21.12212852,43.9462548,10.37741784,22.54578379,43.47178964,48.40650727,23.43942504,17.72987118,20.22798937,39.47566726,39.15179869,15.73391356,18.96462521,23.76559902,37.8806763,48.28067234,32.62140581,37.43912205,33.14920771,25.00256585,12.06254306,38.60984337,46.78294261,49.41959153,41.5917514,20.92669981,16.05964673,30.90356084,19.36555888
